AoE,word
11.2917,aah
9.800399999999991,aardvark
11.578199999999999,ab
9.1361,aback
9.196900000000014,abacus
12.311699999999997,abaft
11.534600000000005,abalone
8.33620000000001,abandon
12.388600000000002,abandoned
13.266200000000003,abandoning
10.55529999999999,abandonment
13.925300000000002,abase
13.767399999999999,abased
14.995500000000018,abasement
12.618099999999995,abash
11.606700000000004,abashed
13.39890000000002,abate
14.35919999999998,abatement
13.123499999999993,abating
13.763600000000004,abattoir
12.677199999999997,abbe
14.642400000000002,abbess
12.711599999999976,abbey
12.1338,abbot
10.708100000000012,abbreviate
10.533100000000001,abbreviated
9.73910000000001,abbreviation
12.526599999999997,abdicate
14.145400000000022,abdication
8.96610000000001,abdomen
10.233900000000004,abdominal
10.914099999999996,abduct
11.956,abducted
12.242799999999997,abductee
11.61090000000002,abduction
11.479299999999999,abductor
12.789000000000009,abeam
12.288,abed
12.934699999999975,aberrant
12.443200000000024,aberration
13.094500000000004,aberrational
12.091700000000005,abet
12.036599999999996,abetter
13.2435,abetting
14.562099999999985,abettor
13.9418,abeyance
13.474599999999999,abhor
13.112199999999998,abhorred
13.8314,abhorrence
12.236699999999999,abhorrent
9.6651,abide
11.330299999999983,abiding
13.892500000000005,abidingly
8.720600000000005,ability
12.539200000000001,abject
14.289800000000005,abjection
11.439199999999996,abjectly
15.555999999999983,abjuration
14.290199999999993,abjure
14.114600000000003,ablate
13.202599999999988,ablation
14.063500000000001,ablative
10.629700000000007,ablaze
6.7212999999999985,able
13.2303,abloom
13.187100000000012,ablution
11.005500000000001,ably
15.122300000000005,abnegate
14.940399999999995,abnegation
10.349499999999987,abnormal
12.331399999999999,abnormality
12.6825,abnormally
8.321399999999997,aboard
11.957499999999982,abode
10.631799999999993,abolish
13.464299999999986,abolition
12.56109999999998,abolitionism
12.3837,abolitionist
9.897100000000014,abominable
12.3814,abominably
14.637000000000002,abominate
10.756499999999992,abomination
13.9782,aboriginal
12.298499999999981,aborigine
11.50160000000001,abort
11.983899999999995,aborted
11.93370000000001,abortion
14.571199999999994,abortionist
13.491800000000001,abortive
11.535699999999997,abound
12.604000000000001,aboveboard
9.331899999999994,abracadabra
13.008099999999997,abrade
12.398899999999992,abraded
11.471800000000012,abrasion
12.01250000000001,abrasive
13.831599999999998,abrasively
12.434199999999981,abrasiveness
12.346799999999975,abreast
13.65899999999999,abridge
12.622399999999981,abridged
12.6711,abridgement
13.390599999999997,abridgment
10.148299999999992,abroad
14.785500000000015,abrogate
14.015899999999997,abrogation
11.064500000000017,abrupt
8.2023,abruptly
11.919099999999998,abruptness
11.523399999999992,abs
12.779299999999992,abscess
12.301200000000001,abscessed
14.254700000000003,abscissa
13.288999999999996,abscission
13.070199999999998,abscond
15.407199999999984,absconder
13.719099999999994,absconding
8.407400000000006,absence
7.710699999999998,absent
11.109399999999999,absentee
13.352900000000004,absenteeism
8.671500000000002,absently
11.187499999999998,absentminded
9.419499999999998,absentmindedly
10.601600000000003,absentmindedness
15.145199999999983,absinthe
8.915199999999988,absolute
7.2000000000000055,absolutely
12.7806,absoluteness
11.728800000000009,absolution
13.878100000000007,absolutism
14.533800000000003,absolutist
12.184899999999997,absolve
8.488100000000008,absorb
14.6501,absorbance
11.901699999999998,absorbed
14.217699999999997,absorbency
10.592800000000016,absorbent
12.8671,absorbing
13.348400000000002,absorbingly
10.818900000000017,absorption
